run,checkpoint_role,checkpoint,agent_steps,training_iteration,archived_task_mean_reward,fresh_task_mean_reward,factor,layer,probe_r_squared,probe_normalized_mse,null_contrast_r_squared,current_observation_r_squared,next_token_probability_r_squared,log_next_token_probability_r_squared,probe_minus_log_ntp_r_squared,probe_minus_log_ntp_ci_low,probe_minus_log_ntp_ci_high,permuted_label_null_r_squared_mean,gaussian_feature_null_r_squared_mean,matched_feature_null_r_squared_mean,activation_participation_ratio,activation_cev90_dimension
reward_both,final,checkpoint_000000,50000318,11940,0.771525,0.771525,factor_2,layer_1,0.6554805954951988,0.3445194045048012,0.6294849721775513,0.13167511307282032,0.41625417398345976,0.6459928669213975,0.009487728573801313,-0.11427134170013598,0.17891488495049226,-0.0011915762822497955,-0.003411934598776689,0.12670176800898797,4.198235446072336,7
reward_both,final,checkpoint_000000,50000318,11940,0.771525,0.771525,factor_2,layer_2,0.6714622214227044,0.3285377785772956,0.6556920741796672,0.13167511307282032,0.41625417398345976,0.6459928669213975,0.025469354501306857,-0.09580697567532173,0.19251704374129452,0.0010036265747463747,-0.003894244717978257,0.10203727294644852,3.296237974265281,5
reward_both,final,checkpoint_000000,50000318,11940,0.771525,0.771525,factor_2,layer_3,0.671012017454341,0.32898798254565903,0.657334136492912,0.13167511307282032,0.41625417398345976,0.6459928669213975,0.025019150532943468,-0.09709613599494722,0.19175803247121034,-0.00029332406575890426,-0.0039480691191565494,0.0941232730345044,4.629015722017677,6
reward_factor_1,init,initial_checkpoint,0,0,0.33215,0.33215,factor_1,layer_1,0.2710668023426295,0.7289331976573705,0.2598075227209631,0.0014098652970166992,0.5005250213830517,0.5685007184710511,-0.2974339161284216,-0.30318871894606314,-0.291681520240925,-0.0016228108720263811,-0.0022967485566324,0.2705682998537048,6.225343329296654,6
reward_factor_1,init,initial_checkpoint,0,0,0.33215,0.33215,factor_1,layer_2,0.26872675925360545,0.7312732407463945,0.25746132997328564,0.0014098652970166992,0.5005250213830517,0.5685007184710511,-0.29977395921744565,-0.3047524286475032,-0.2950858015567582,-0.001356269952533462,-0.0029048918027053004,0.2694751914063409,6.032563944695423,7
reward_factor_1,init,initial_checkpoint,0,0,0.33215,0.33215,factor_1,layer_3,0.26551525296468415,0.7344847470353159,0.25165144097163095,0.0014098652970166992,0.5005250213830517,0.5685007184710511,-0.302985465506367,-0.3080301036799512,-0.2981982402563067,-0.002434086022453896,-0.0030545296313947644,0.265161386215528,6.161175981819447,7
reward_factor_1,init,initial_checkpoint,0,0,0.33215,0.33215,factor_2,layer_1,0.2712494242194775,0.7287505757805225,0.2786636981079521,5.30858029617054e-05,0.4980385080463605,0.5688623872984104,-0.2976129630789329,-0.30065063616467297,-0.2941311129976625,-0.0026943748531381706,-0.0019716490100846864,0.2711394462010668,6.225343329296654,6
reward_factor_1,init,initial_checkpoint,0,0,0.33215,0.33215,factor_2,layer_2,0.2637770052201488,0.7362229947798512,0.2703763760673482,5.30858029617054e-05,0.4980385080463605,0.5688623872984104,-0.30508538207826175,-0.30876867782689954,-0.30072630899654496,-0.0037635676984044244,-0.0024075682287123534,0.2635161907524442,6.032563944695423,7
reward_factor_1,init,initial_checkpoint,0,0,0.33215,0.33215,factor_2,layer_3,0.2647079497128051,0.7352920502871949,0.2769559788299054,5.30858029617054e-05,0.4980385080463605,0.5688623872984104,-0.3041544375856054,-0.30723438425951943,-0.3001276736918502,-0.0029233342469964898,-0.0024943798218436176,0.2647533960107767,6.161175981819447,7
reward_factor_1,penultimate,iteration_004096_steps_017153039,17153039,4096,0.7749,0.7749,factor_1,layer_1,0.7645001470748931,0.23549985292510686,0.8007060539885348,0.31740420461310204,0.27922888206117236,0.39133903314395246,0.37316111393094076,0.35183557544701916,0.39521058918334623,-0.00707081644971348,-0.0016201254705123346,0.472224649347168,3.195535478579421,4
reward_factor_1,penultimate,iteration_004096_steps_017153039,17153039,4096,0.7749,0.7749,factor_1,layer_2,0.7074640791442335,0.2925359208557665,0.7513628153399121,0.31740420461310204,0.27922888206117236,0.39133903314395246,0.3161250460002811,0.29542308775872017,0.33591179209568756,-0.008527562646168252,-0.0022112871360436158,0.44965206761006493,3.9243033742214712,6
reward_factor_1,penultimate,iteration_004096_steps_017153039,17153039,4096,0.7749,0.7749,factor_1,layer_3,0.7158539212172587,0.28414607878274134,0.782928723845024,0.31740420461310204,0.27922888206117236,0.39133903314395246,0.32451488807330625,0.3015600119936611,0.34488577731471076,-0.009098754521737518,-0.0024786037998649757,0.44229585532458054,3.5023868086083527,5
reward_factor_1,penultimate,iteration_004096_steps_017153039,17153039,4096,0.7749,0.7749,factor_2,layer_1,0.012367319683821876,0.9876326803161781,0.00014556433882306763,0.013389797287316596,0.5082728569922834,0.5793196118893575,-0.5669522922055357,-0.5716641448620398,-0.5629252800166393,-0.0010721884321617913,-0.0007104032511986436,0.012169189789314782,3.195535478579421,4
reward_factor_1,penultimate,iteration_004096_steps_017153039,17153039,4096,0.7749,0.7749,factor_2,layer_2,-0.0015340652979414227,1.0015340652979414,-0.002424090047615568,0.013389797287316596,0.5082728569922834,0.5793196118893575,-0.580853677187299,-0.5842983862470521,-0.5768743866108728,-0.0015448403337399608,-0.0014506144320583392,-0.0016095501741401285,3.9243033742214712,6
reward_factor_1,penultimate,iteration_004096_steps_017153039,17153039,4096,0.7749,0.7749,factor_2,layer_3,-0.0026359278725562874,1.0026359278725563,-0.0030940084864614636,0.013389797287316596,0.5082728569922834,0.5793196118893575,-0.5819555397619139,-0.5865016536997881,-0.5775792316542633,-0.001678760430243953,-0.0016353322395926018,-0.0023910861799568473,3.5023868086083527,5
reward_factor_1,final,checkpoint_000000,30000499,7164,0.77945,0.77945,factor_1,layer_1,0.7869803313925441,0.21301966860745586,0.8184618287061547,0.32582947288822617,0.28843610953344634,0.3981653464932021,0.388814984899342,0.3751246409510651,0.4045790634018397,-0.009181426767455125,-0.0010162741505466144,0.4798389332145745,2.6565293076828613,4
reward_factor_1,final,checkpoint_000000,30000499,7164,0.77945,0.77945,factor_1,layer_2,0.7570561520774147,0.24294384792258528,0.8047229266052273,0.32582947288822617,0.28843610953344634,0.3981653464932021,0.35889080558421255,0.3455289275536368,0.3729693766236158,-0.01027602694874279,-0.0017955818513407883,0.4764540155817982,2.6041440000751965,4
reward_factor_1,final,checkpoint_000000,30000499,7164,0.77945,0.77945,factor_1,layer_3,0.7831399322994772,0.21686006770052285,0.8349091459231737,0.32582947288822617,0.28843610953344634,0.3981653464932021,0.38497458580627497,0.3736462787104513,0.39710601590761135,-0.010709791940871715,-0.0019676754658710218,0.46946291346380864,2.816401557183799,5
reward_factor_1,final,checkpoint_000000,30000499,7164,0.77945,0.77945,factor_2,layer_1,-0.001357412296010052,1.00135741229601,0.0015899268318477766,0.0018062414893776912,0.49881984322697603,0.5683256164660893,-0.5696830287620994,-0.5740624919552405,-0.5653757102880118,-0.0007741800760180606,-0.0008433797910157193,0.0009357550955834126,2.6565293076828613,4
