arm,run_id,variant,speed,phase,agent_steps,training_iteration,checkpoint_label,source,target,control,availability,r_squared,mse,target_variance,global_mse_ratio,branch_baseline_mse,fine_evaluation_mse,fine_mse_ratio,fine_mse_improvement,n_evaluated,mse_ci95_low,mse_ci95_high,n_fit,n_test,bootstrap_clusters,bootstrap_resamples,bootstrap_unit
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,e_minus_s,categorical_plus_marginals,saved,0.04406171858594421,0.23569011516611746,0.24655369467731408,0.9559382814140558,0.2385284392083794,0.23569011516611746,0.9881006891602457,0.002838324042261947,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,fine_belief,combined_marginals,saved,0.4436194043331967,0.03962277714137381,0.07121523908267731,0.5563805956668033,0.049771308779962414,0.03962277714137381,0.7960967495660004,0.010148531638588601,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,coarse_belief,combined_marginals,saved,0.5924556298054016,0.04074941761595793,0.09998768378643161,0.4075443701945984,0.05950856893746979,0.04074941761595793,0.6847655445852926,0.01875915132151186,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,m1_minus_m2,combined_marginals,saved,0.17241106529563144,0.07248571143524296,0.08758661262325397,0.8275889347043687,0.08062671475369367,0.07248571143524296,0.8990284629192615,0.008141003318450704,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,e_minus_s,combined_marginals,saved,0.008343776734958008,0.24449650569574755,0.24655369467731408,0.9916562232650419,0.2385284392083794,0.24449650569574755,1.025020356093281,-0.00596806648736814,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,fine_belief,next_reward,saved,0.4436194043178825,0.03962277714246442,0.07121523908267731,0.5563805956821175,0.049771308779962414,0.03962277714246442,0.7960967495879128,0.010148531637497994,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,coarse_belief,next_reward,saved,0.5924556298029405,0.04074941761620401,0.09998768378643161,0.4075443701970595,0.05950856893746979,0.04074941761620401,0.6847655445894278,0.01875915132126578,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,m1_minus_m2,next_reward,saved,0.1724110652128753,0.07248571144249129,0.08758661262325397,0.8275889347871248,0.08062671475369367,0.07248571144249129,0.8990284630091613,0.008141003311202377,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,e_minus_s,next_reward,saved,0.008343776728969576,0.24449650569722403,0.24655369467731408,0.9916562232710304,0.2385284392083794,0.24449650569722403,1.0250203560994708,-0.0059680664888446255,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,fine_belief,next_token,saved,0.4436194043326096,0.03962277714141562,0.07121523908267731,0.5563805956673904,0.049771308779962414,0.03962277714141562,0.7960967495668403,0.010148531638546794,10000,,,10000,10000,,,
