run,seed,agent_steps,iteration,phase,n_fit,n_test,source,split,json_pointer,value
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,train_policy,/train_policy/token_accuracy,0.68875
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,policy,/policy/guess_fractions/0,0.04735
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,policy,/policy/guess_fractions/1,0.95265
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,policy,/policy/mean_reward,0.69605
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,policy,/policy/mode,learned_stochastic
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,policy,/policy/token_accuracy,0.69605
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,train_policy,/train_policy/guess_fractions/0,0.0397
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,train_policy,/train_policy/guess_fractions/1,0.9603
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/0,0.3114
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/1,0.6886
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,train_policy,/train_policy/mean_reward,0.6887
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,train_policy,/train_policy/token_accuracy,0.6887
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,policy,/policy/guess_fractions/0,0.03355
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,policy,/policy/guess_fractions/1,0.96645
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,policy,/policy/mean_reward,0.69525
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,policy,/policy/mode,learned_stochastic
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,policy,/policy/token_accuracy,0.69525
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,train_policy,/train_policy/guess_fractions/0,0.0309
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,train_policy,/train_policy/guess_fractions/1,0.9691
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/0,0.3114
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/1,0.6886
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,train_policy,/train_policy/mean_reward,0.6878
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,train_policy,/train_policy/token_accuracy,0.6878
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,policy,/policy/guess_fractions/0,0.0198
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,policy,/policy/guess_fractions/1,0.9802
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
