run,seed,agent_steps,iteration,phase,n_fit,n_test,source,layer,factor,probe_type,json_pointer,mse,target_variance,global_mse_ratio,r_squared,global_r2,null_mse,null_target_variance,null_r_squared,null_global_r2,selected_rcond,cv_folds,cv_validation_mse
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,layer_1,strata,shuffled_training_labels,/layers/layer_1/shuffled_training_labels/strata,0.09656076442657875,0.09555247831576143,1.0105521712109378,-0.010552171210937766,-0.010552171210937766,0.06359576823679519,0.062195463140271204,-0.022514585884919613,-0.022514585884919613,0.01,10,"{""0.0001"": 0.09053895573714481, ""0.01"": 0.09035142118403111, ""1e-06"": 0.090653457419313, ""1e-08"": 0.090653457419313, ""1e-10"": 0.090653457419313, ""1e-15"": 0.090653457419313}"
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,layer_2,strata,probe_fits,/layers/layer_2/probe_fits/strata,0.00421591770777106,0.09555247831576143,0.044121489908814246,0.9558785100911857,0.9558785100911857,0.006865588032821057,0.062195463140271204,0.8896127195429528,0.8896127195429528,1e-15,10,"{""0.0001"": 0.00459780321950153, ""0.01"": 0.012900105066939543, ""1e-06"": 0.00459780321950153, ""1e-08"": 0.00459780321950153, ""1e-10"": 0.00459780321950153, ""1e-15"": 0.00459780321950153}"
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,layer_2,strata,shuffled_training_labels,/layers/layer_2/shuffled_training_labels/strata,0.09589273915586395,0.09555247831576143,1.0035609839336463,-0.0035609839336465665,-0.0035609839336463445,0.06353659910176768,0.062195463140271204,-0.021563244226862288,-0.021563244226862288,0.01,10,"{""0.0001"": 0.09068085488994516, ""0.01"": 0.09035505181711523, ""1e-06"": 0.09068085488994516, ""1e-08"": 0.09068085488994516, ""1e-10"": 0.09068085488994516, ""1e-15"": 0.09068085488994516}"
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,layer_3,strata,probe_fits,/layers/layer_3/probe_fits/strata,0.0035597710288667542,0.09555247831576143,0.037254617479446035,0.962745382520554,0.962745382520554,0.005823425386555324,0.062195463140271204,0.9063689682087971,0.9063689682087971,1e-15,10,"{""0.0001"": 0.0038609006697531457, ""0.01"": 0.008682989886172773, ""1e-06"": 0.0038609006697531457, ""1e-08"": 0.0038609006697531457, ""1e-10"": 0.0038609006697531457, ""1e-15"": 0.0038609006697531457}"
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,layer_3,strata,shuffled_training_labels,/layers/layer_3/shuffled_training_labels/strata,0.09556012911578814,0.09555247831576143,1.0000800690904261,-8.006909042634902e-05,-8.006909042612698e-05,0.0633544569669225,0.062195463140271204,-0.01863470047706528,-0.018634700477065058,0.01,10,"{""0.0001"": 0.09071042821499374, ""0.01"": 0.09035492731540602, ""1e-06"": 0.09071042821499374, ""1e-08"": 0.09071042821499374, ""1e-10"": 0.09071042821499374, ""1e-15"": 0.09071042821499374}"
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,control,strata,current_visible_token,/controls/current_visible_token/strata,0.07080621181481284,0.09555247831576143,0.7410191034588092,0.25898089654119083,0.25898089654119083,0.06299653134821333,0.062195463140271204,-0.012879849550045952,-0.012879849550045952,,,
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,control,strata,train_mean,/controls/train_mean/strata,0.09595638360300797,0.09555247831576143,1.004227051923361,-0.004227051923360925,-0.004227051923360925,0.06308358673254315,0.062195463140271204,-0.014279555894116225,-0.014279555894116225,,,
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,layer_1,strata,probe_fits,/layers/layer_1/probe_fits/strata,0.017311022389908472,0.09555247831576143,0.18116769648509484,0.8188323035149052,0.8188323035149052,0.025920162518163134,0.062195463140271204,0.5832467320051198,0.5832467320051199,1e-15,10,"{""0.0001"": 0.01723458860533613, ""0.01"": 0.0180647496890862, ""1e-06"": 0.01721990899487804, ""1e-08"": 0.01721990899487804, ""1e-10"": 0.01721990899487804, ""1e-15"": 0.01721990899487804}"
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,layer_1,strata,shuffled_training_labels,/layers/layer_1/shuffled_training_labels/strata,0.09623829560572907,0.09555247831576143,1.0071773888239852,-0.00717738882398522,-0.00717738882398522,0.06355010350370627,0.062195463140271204,-0.021780372635539447,-0.021780372635539447,0.01,10,"{""0.0001"": 0.09050305978309145, ""0.01"": 0.0903512558420525, ""1e-06"": 0.09062977872446282, ""1e-08"": 0.09062977872446282, ""1e-10"": 0.09062977872446282, ""1e-15"": 0.09062977872446282}"
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,layer_2,strata,probe_fits,/layers/layer_2/probe_fits/strata,0.0039191973797413114,0.09555247831576143,0.04101617717114552,0.9589838228288545,0.9589838228288545,0.007834000975452953,0.062195463140271204,0.8740422439208354,0.8740422439208354,1e-15,10,"{""0.0001"": 0.004214622534300117, ""0.01"": 0.007774484498819468, ""1e-06"": 0.004214622534300117, ""1e-08"": 0.004214622534300117, ""1e-10"": 0.004214622534300117, ""1e-15"": 0.004214622534300117}"
