condition,factor,factor_role,layer,is_last_layer,control,n_repeats,std_ddof,mse_mean,mse_std,mse_n_valid,mse_replicates,r_squared_mean,r_squared_std,r_squared_n_valid,r_squared_replicates
reward_both,factor_1,rewarded,layer_3,True,gaussian_covariance_matched,5,1,0.052746633313687195,2.9157633824372533e-05,5,"[0.05271800185705776,0.05273991059868677,0.05278752329821503,0.05272326926939228,0.05276446154508414]",-0.0024013080977159707,0.0005541140438815202,5,"[-0.0018571935680282703,-0.0022735490752525678,-0.0031783846882735833,-0.0019572959003042456,-0.0027401172567211862]"
reward_both,factor_1,rewarded,layer_3,True,ntp_bin_matched_activations,5,1,0.02712253549436071,0.00016681176816406743,5,"[0.027153361897291704,0.026999168628854788,0.02714028589340422,0.027374433626222838,0.026945427426029997]",0.48456113024716985,0.003170104404945328,5,"[0.4839753027795055,0.48690560418967954,0.48422380022053757,0.47977403766849624,0.4879269063776305]"
reward_both,factor_1,rewarded,layer_3,True,shuffled_training_labels,5,1,0.052900694227128994,0.0004440297035686794,5,"[0.053597346790261964,0.05291015476288282,0.05240242585900282,0.05266761278846872,0.052925930935028634]",-0.005329094222801478,0.008438376588785778,5,"[-0.018568336174437317,-0.005508883013463084,0.004140038357149933,-0.000899595611641324,-0.0058086946716156]"
reward_both,factor_1,rewarded,layer_3,True,visible_suffix_matched_activations,5,1,0.025954682343689122,9.873229391731357e-05,5,"[0.026004904085737912,0.025943526507551898,0.025804675105266118,0.026072158760425585,0.025948147259464094]",0.5067551064757051,0.0018763165411075193,5,"[0.5058006884064936,0.5069671128926905,0.5096058562311464,0.5045225751005376,0.5068792997476574]"
reward_both,factor_2,rewarded,layer_1,False,dirichlet_labels,5,1,0.05546697913145376,0.000305460668008966,5,"[0.05509014663562445,0.055602019163793176,0.05544332115550604,0.055897357396537464,0.05530205130580765]",-0.0010653219435862837,0.00024904082315079396,5,"[-0.001036205079552932,-0.000764369665926079,-0.0009470779990226053,-0.001434721935967831,-0.0011442350374619714]"
reward_both,factor_2,rewarded,layer_1,False,gaussian_covariance_matched,5,1,0.0389806708577173,1.9617583413537548e-05,5,"[0.039011865120423046,0.03897548472884961,0.03896892888914052,0.03898578083017665,0.0389612947199967]",-0.0018061952653278368,0.0005041733804826271,5,"[-0.002607890180980066,-0.0016729113603877188,-0.0015044257830176821,-0.001937521944801679,-0.0013082270574520383]"
reward_both,factor_2,rewarded,layer_1,False,ntp_bin_matched_activations,5,1,0.011126071550238198,5.079902156433016e-05,5,"[0.011045229296890866,0.011131274763051955,0.011116495887383827,0.011172988940323245,0.0111643688635411]",0.7140591179490374,0.0013055387041007475,5,"[0.7161367699868431,0.7139253949853888,0.714305213210104,0.712853337468131,0.7130748740947204]"
reward_both,factor_2,rewarded,layer_1,False,shuffled_training_labels,5,1,0.038946991786994706,0.00026200048171003257,5,"[0.03896902696509219,0.03911840053638919,0.039270855860731035,0.038743195688718715,0.03863347988404239]",-0.0009406405953265251,0.006733432236137288,5,"[-0.001506946342408444,-0.005345858445292784,-0.009263971834986062,0.004296934575429345,0.007116639070625319]"
reward_both,factor_2,rewarded,layer_1,False,visible_suffix_matched_activations,5,1,0.01358254770802264,4.586310204548578e-05,5,"[0.013616235528317368,0.013635033897773466,0.013590105702545027,0.013529596496424028,0.013541766915053308]",0.6509274945254038,0.0011786851983886621,5,"[0.6500617149907357,0.6495785954710449,0.6507332534933818,0.6522883446764932,0.651975563995363]"
reward_both,factor_2,rewarded,layer_2,False,dirichlet_labels,5,1,0.055504685894984196,0.00030598876446705974,5,"[0.05512260780547486,0.0556432296949071,0.055487004879443386,0.055931020709652696,0.05533956638544293]",-0.0017458160653248012,0.00020198295179012002,5,"[-0.0016260529609612995,-0.001506105880079156,-0.001735722959676389,-0.0020378204039301906,-0.0018233781219769707]"
reward_both,factor_2,rewarded,layer_2,False,gaussian_covariance_matched,5,1,0.03900715674674233,2.412195653778828e-05,5,"[0.03904519483681149,0.03899497930422887,0.03899349207170014,0.03901640793847303,0.03898570958249811]",-0.0024868846205528426,0.0006199361111481273,5,"[-0.0034644664181171514,-0.002173923425067059,-0.0021357014363658777,-0.002724640949150592,-0.0019356908740635337]"
reward_both,factor_2,rewarded,layer_2,False,ntp_bin_matched_activations,5,1,0.011863649611803934,4.2729107435544006e-05,5,"[0.01182328768803706,0.011918714865076684,0.011865333058952819,0.011820067367448645,0.011890845079504466]",0.6951033058680851,0.0010981412993976588,5,"[0.6961406103677965,0.6936881246857537,0.6950600411487756,0.6962233728509768,0.6944043802871227]"
reward_both,factor_2,rewarded,layer_2,False,shuffled_training_labels,5,1,0.03898937292330042,0.00024987265717387277,5,"[0.03895047943628235,0.03912334734418857,0.03933486397892228,0.03868581742047788,0.03885235643663099]",-0.0020298390103157702,0.006421746226428426,5,"[-0.0010302734463367713,-0.005472991780639758,-0.010908985323474285,0.005771560417736632,0.00149149508113533]"
reward_both,factor_2,rewarded,layer_2,False,visible_suffix_matched_activations,5,1,0.014077518078730271,6.357367990728997e-05,5,"[0.014095853866019168,0.014177643471365573,0.01405073117328694,0.014010638945886824,0.01405272293709285]",0.6382067184859757,0.0016338483916659144,5,"[0.6377354873630396,0.6356334883070609,0.6388951439859643,0.6399255172686107,0.638843955505203]"
reward_both,factor_2,rewarded,layer_3,True,dirichlet_labels,5,1,0.055523814452542945,0.000306069256418142,5,"[0.0551386403251611,0.05564188095764703,0.05551148782334698,0.05595782824376371,0.05536923491279592]",-0.002091100291610681,0.00040736300864049787,5,"[-0.0019173778828340815,-0.0014818303553010281,-0.002177726264139146,-0.0025180934744049033,-0.002360473481374248]"
