condition,factor,factor_role,layer,is_last_layer,candidate,true_mse,true_r_squared,alternative_mse,alternative_r_squared,delta_r_squared,delta_r_squared_ci_low,delta_r_squared_ci_high,ci_reason,parameters,selection_next_observation_kl,test_next_observation_kl,selection_affine_residual_ratio,selection_min_permutation_mse,n_test_episodes,n_bootstrap_resamples
reward_both,factor_1,rewarded,layer_1,False,alternative_12,0.015592540198170494,0.703678098310845,0.0033511286064080333,0.8766284979768845,-0.17295039966603942,-0.1903277890207206,-0.1597722837324079,,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.019440111561671053,0.01841577809818635,0.45494783777820363,0.031018610450391202,28,200
reward_both,factor_1,rewarded,layer_2,False,alternative_9,0.01677536234505721,0.6811996500611721,0.004026218250596322,0.8593682582686442,-0.1781686082074721,-0.1924384745106056,-0.1638015423857842,,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.014012133987423936,0.013210532150112501,0.3480958081989684,0.022985849007514114,28,200
reward_both,factor_1,rewarded,layer_2,False,alternative_10,0.01677536234505721,0.6811996500611721,0.005888898429907175,0.8316969002625181,-0.1504972502013459,-0.16123254200366113,-0.14049756231962257,,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.005287648194904554,0.004915479760986429,0.15349588471707262,0.010094953318842184,28,200
reward_both,factor_1,rewarded,layer_2,False,alternative_12,0.01677536234505721,0.6811996500611721,0.0037801385717549174,0.8608345342040464,-0.1796348841428743,-0.1951480983396774,-0.16498140384813367,,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.019440111561671053,0.01841577809818635,0.45494783777820363,0.031018610450391202,28,200
reward_both,factor_1,rewarded,layer_3,True,alternative_9,0.01765306816507988,0.6645196572949342,0.0046959962238702704,0.835973589353003,-0.17145393205806883,-0.18596861029009365,-0.15846377635388792,,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.014012133987423936,0.013210532150112501,0.3480958081989684,0.022985849007514114,28,200
reward_both,factor_1,rewarded,layer_3,True,alternative_10,0.01765306816507988,0.6645196572949342,0.006582984614768687,0.8118601077303369,-0.14734045043540273,-0.158235241635573,-0.13788584664799133,,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.005287648194904554,0.004915479760986429,0.15349588471707262,0.010094953318842184,28,200
reward_both,factor_1,rewarded,layer_3,True,alternative_12,0.01765306816507988,0.6645196572949342,0.004495850831647455,0.8344856509202309,-0.1699659936252966,-0.1850380191551762,-0.15627615536983885,,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.019440111561671053,0.01841577809818635,0.45494783777820363,0.031018610450391202,28,200
reward_both,factor_2,rewarded,layer_1,False,alternative_9,0.006147724279745147,0.8420030200939332,0.0037869746901345053,0.8566849212990326,-0.014681901205099407,-0.025883180027591508,-0.007543051774881516,,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.014012133987423936,0.013210532150112501,0.25184712914102997,0.013555130621245394,28,200
reward_both,factor_2,rewarded,layer_1,False,alternative_10,0.006147724279745147,0.8420030200939332,0.004408156654755705,0.8539855216955665,-0.01198250160163336,-0.01915769577199882,-0.006310984271276508,,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.005287648194904554,0.004915479760986429,0.07488871484243688,0.003970139401852146,28,200
reward_both,factor_2,rewarded,layer_1,False,alternative_12,0.006147724279745147,0.8420030200939332,0.0036910637735307413,0.8578034726583276,-0.01580045256439433,-0.02752932895676003,-0.00827527821589049,,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.019440111561671053,0.01841577809818635,0.3591611092583971,0.020246043243690205,28,200
reward_both,factor_2,rewarded,layer_2,False,alternative_9,0.0064570459156628865,0.8340534306083369,0.003908039655879846,0.8521033128877266,-0.018049882279389556,-0.029114225138738598,-0.011868674612654232,,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.014012133987423936,0.013210532150112501,0.25184712914102997,0.013555130621245394,28,200
reward_both,factor_2,rewarded,layer_2,False,alternative_10,0.0064570459156628865,0.8340534306083369,0.004598618905535191,0.8476767063874147,-0.013623275779077626,-0.021157914262240674,-0.009211699420215443,,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.005287648194904554,0.004915479760986429,0.07488871484243688,0.003970139401852146,28,200
reward_both,factor_2,rewarded,layer_2,False,alternative_12,0.0064570459156628865,0.8340534306083369,0.0037998348034853193,0.8536131189597993,-0.01955968835146235,-0.0308698531542499,-0.01278273043376908,,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.019440111561671053,0.01841577809818635,0.3591611092583971,0.020246043243690205,28,200
reward_both,factor_2,rewarded,layer_3,True,alternative_9,0.006232537103674965,0.8398233240912407,0.003863712008920228,0.8537808578233175,-0.01395753373207681,-0.021436025045492763,-0.009043882830358818,,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.014012133987423936,0.013210532150112501,0.25184712914102997,0.013555130621245394,28,200
reward_both,factor_2,rewarded,layer_3,True,alternative_10,0.006232537103674965,0.8398233240912407,0.00437954555698916,0.8549332272426442,-0.015109903151403509,-0.02064299522168399,-0.011722549708326636,,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.005287648194904554,0.004915479760986429,0.07488871484243688,0.003970139401852146,28,200
reward_both,factor_2,rewarded,layer_3,True,alternative_12,0.006232537103674965,0.8398233240912407,0.003872989278256708,0.850794876601975,-0.010971552510734228,-0.019633163520359136,-0.0051186604983246885,,"{""alpha"":0.94,""strength"":0.5,""x"":0.4}",0.019440111561671053,0.01841577809818635,0.3591611092583971,0.020246043243690205,28,200
reward_factor_1,factor_1,rewarded,layer_1,False,alternative_2,0.011568162784651064,0.6715472300894623,0.010047012199978457,0.6429667555038763,0.028580474585586102,0.01553212845511816,0.040868681355197216,,"{""alpha"":0.8799999999999999,""strength"":1.0,""x"":0.4}",0.011316913038445986,0.011251033917206596,0.05533197610393257,0.014268965375191026,28,200
