condition,factor,factor_role,layer,is_last_layer,probe_mse,probe_r_squared,delta_contrast_r_squared,baseline,baseline_mse,baseline_r_squared,delta_r_squared,delta_r_squared_ci_low,delta_r_squared_ci_high,mse_improvement,mse_improvement_ci_low,mse_improvement_ci_high,ci_reason,delta_r_squared_ci_reason,n_test_episodes,n_bootstrap_resamples
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,ntp,0.007598446854500435,0.8732298071341286,-0.006774477498333765,-0.011624754835836379,-0.0018589882108708715,-0.000406053710847956,-0.0007080656237109697,-0.0001072543882890373,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,log_ntp,0.0070641387082810885,0.8821440429040234,-0.015688713268228613,-0.019971143272278585,-0.011791493681603763,-0.0009403618570673023,-0.0012214538077662254,-0.0006870064454226014,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,joint_ntp,0.007612493686138246,0.8729954540367156,-0.006540124400920834,-0.011378888348134015,-0.0014978458889053747,-0.0003920068792101451,-0.0006930885333754946,-8.711909425672915e-05,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,log_joint_ntp,0.008090131383987401,0.8650266909150146,0.0014286387207801975,-0.002950930307076002,0.0057890368899183205,8.563081863901048e-05,-0.00017860011067190814,0.00033655593201076185,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,policy_probabilities,0.057050295391063176,0.04819009880993563,0.8182652308258592,0.7981807878889515,0.846644272031364,0.049045794825714785,0.04697947000671855,0.0516124567483588,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,centered_log_policy,0.04414566261421008,0.2634870953291628,0.602968234306632,0.5915534557003214,0.6182931942592151,0.03614116204886169,0.034994161966585134,0.03726508286912293,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,suffix_0_belief,0.05996000249413313,-0.0003545758719569747,0.8668099055077518,0.8631775433374352,0.8738003056805212,0.05195550192878474,0.050278162144966755,0.05354647608773558,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,suffix_1_belief,0.036920224332928034,0.3840341257944824,0.48242120384131243,0.47603246034586527,0.48937637526172784,0.028915723767579643,0.02782940727750606,0.029829913219992104,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,suffix_2_belief,0.02316076477421854,0.6135927942156014,0.2528625354201934,0.24747556570858759,0.2597062345534998,0.01515626420887015,0.014595801785608894,0.015664381940084838,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,suffix_4_belief,0.011466099019041045,0.80870306631123,0.05775226332456478,0.05396003065827244,0.0618647102989757,0.0034615984536926544,0.00326589816481044,0.00364140311329174,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,suffix_8_belief,0.005214980528045491,0.9129948396045529,-0.04653950996875808,-0.048491961913554024,-0.04432283341723417,-0.0027895200373028997,-0.0029419114957080746,-0.0026450342659763313,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,suffix_16_belief,0.001814825849218504,0.9697219935430443,-0.10326666390724953,-0.10847870492574936,-0.09863244560327177,-0.006189674716129887,-0.006371555137187725,-0.005993896594731263,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,suffix_32_belief,0.0003067901217068252,0.9948816062489029,-0.1284262766131081,-0.13629450407390858,-0.12224245907595882,-0.007697710443641565,-0.007971678051717848,-0.007437145139250635,,,28,200
token_guess,factor_2,guessed,layer_3,True,0.008083706270594099,0.8651338855667179,0.1544778437655019,train_mean,0.05996000249413312,-0.0003545758719569747,0.8654884614386747,0.8612221800144391,0.8726301292178563,0.05187629622353902,0.05013231395915302,0.053488865803991925,,,28,200
token_guess,factor_2,guessed,layer_3,True,0.008083706270594099,0.8651338855667179,0.1544778437655019,ntp,0.007598446854500435,0.8732298071341286,-0.008095921567410682,-0.013408282714950648,-0.0031793990637598553,-0.0004852594160936639,-0.0008097326946923913,-0.00018646467139107838,,,28,200
