condition,factor,factor_role,layer,is_last_layer,control,repeat,null_seed,fit_seed,null_mse,null_r_squared,sampling
token_guess,factor_1,guessed,layer_1,False,visible_suffix_matched_activations,0,1042,42,0.03713472402893481,0.37932302709890897,"{""donor_source"":""train"",""fallback"":""training_marginal"",""key_width"":1,""method"":""train_row_resampling_conditional_on_exact_key"",""minimum_key_pool_size"":2,""n_features"":64,""n_test"":20000,""n_train"":20000,""n_train_keys"":4,""seed"":1042,""test"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":0,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""train"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":20000,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""training_self_exclusion"":""whenever_an_alternative_exists""}"
token_guess,factor_1,guessed,layer_1,False,visible_suffix_matched_activations,1,1043,42,0.03714833632997185,0.379095508461762,"{""donor_source"":""train"",""fallback"":""training_marginal"",""key_width"":1,""method"":""train_row_resampling_conditional_on_exact_key"",""minimum_key_pool_size"":2,""n_features"":64,""n_test"":20000,""n_train"":20000,""n_train_keys"":4,""seed"":1043,""test"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":0,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""train"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":20000,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""training_self_exclusion"":""whenever_an_alternative_exists""}"
token_guess,factor_1,guessed,layer_1,False,visible_suffix_matched_activations,2,1044,42,0.037121702039842754,0.3795406791478244,"{""donor_source"":""train"",""fallback"":""training_marginal"",""key_width"":1,""method"":""train_row_resampling_conditional_on_exact_key"",""minimum_key_pool_size"":2,""n_features"":64,""n_test"":20000,""n_train"":20000,""n_train_keys"":4,""seed"":1044,""test"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":0,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""train"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":20000,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""training_self_exclusion"":""whenever_an_alternative_exists""}"
token_guess,factor_1,guessed,layer_1,False,visible_suffix_matched_activations,3,1045,42,0.037139012125265616,0.37925135502594454,"{""donor_source"":""train"",""fallback"":""training_marginal"",""key_width"":1,""method"":""train_row_resampling_conditional_on_exact_key"",""minimum_key_pool_size"":2,""n_features"":64,""n_test"":20000,""n_train"":20000,""n_train_keys"":4,""seed"":1045,""test"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":0,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""train"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":20000,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""training_self_exclusion"":""whenever_an_alternative_exists""}"
token_guess,factor_1,guessed,layer_1,False,visible_suffix_matched_activations,4,1046,42,0.03713736809200771,0.3792788337163764,"{""donor_source"":""train"",""fallback"":""training_marginal"",""key_width"":1,""method"":""train_row_resampling_conditional_on_exact_key"",""minimum_key_pool_size"":2,""n_features"":64,""n_test"":20000,""n_train"":20000,""n_train_keys"":4,""seed"":1046,""test"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":0,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""train"":{""exact_key_coverage"":1.0,""exact_key_rows"":20000,""fallback_rows"":0,""matched_fraction"":1.0,""matched_rows"":20000,""n_rows"":20000,""self_donor_rows"":0,""self_excluded_rows"":20000,""singleton_fallback_rows"":0,""unseen_fallback_rows"":0},""training_self_exclusion"":""whenever_an_alternative_exists""}"
token_guess,factor_1,guessed,layer_2,False,dirichlet_labels,0,1042,42,0.055134201371228264,-0.0018367182028218298,
token_guess,factor_1,guessed,layer_2,False,dirichlet_labels,1,1043,42,0.05570679883521958,-0.002650268117202703,
token_guess,factor_1,guessed,layer_2,False,dirichlet_labels,2,1044,42,0.055546238159703124,-0.0028050921381568283,
token_guess,factor_1,guessed,layer_2,False,dirichlet_labels,3,1045,42,0.05591086468362543,-0.0016767130947463738,
token_guess,factor_1,guessed,layer_2,False,dirichlet_labels,4,1046,42,0.05530107020455024,-0.001126473962697938,
